GCC	55	24.14	25.85	25.58	24.43	0.00	0.00
GCC	56	23.86	26.08	26.18	23.87	0.00	0.00
GCC	57	23.88	26.15	25.91	24.06	0.00	0.00
GCC	58	24.83	25.28	24.98	24.91	0.00	0.00
GCC	59	23.64	26.73	26.08	23.56	0.00	0.00
GCC	60	23.88	26.37	25.77	23.98	0.00	0.00
GCC	61	24.13	25.97	25.93	23.97	0.00	0.00
GCC	62	24.08	25.77	25.93	24.22	0.00	0.00
GCC	63	24.16	25.94	25.80	24.10	0.00	0.00
GCC	64	24.04	26.03	25.71	24.21	0.00	0.00
GCC	65	24.10	26.26	25.97	23.67	0.00	0.00
GCC	66	24.43	25.62	25.61	24.33	0.00	0.00
GCC	67	24.44	25.70	25.51	24.35	0.00	0.00
GCC	68	23.73	26.54	26.07	23.65	0.00	0.00
GCC	69	23.98	26.09	25.72	24.21	0.00	0.00
GCC	70	24.17	25.65	25.79	24.39	0.00	0.00
GCC	71	23.64	26.44	26.42	23.50	0.00	0.00
GCC	72	24.15	26.15	25.69	24.01	0.00	0.00
GCC	73	24.52	25.43	25.57	24.48	0.00	0.00
GCC	74	24.12	25.70	26.05	24.13	0.00	0.00
GCC	75	23.68	26.19	26.25	23.87	0.00	0.00
GCC	76	24.36	25.61	25.61	24.42	0.00	0.00
GCC	77	24.07	25.91	25.85	24.17	0.00	0.00
GCC	78	24.11	25.81	25.95	24.13	0.00	0.00
GCC	79	24.29	25.72	25.44	24.55	0.00	0.00
GCC	80	24.18	25.90	25.70	24.22	0.00	0.00
GCC	81	23.55	26.15	26.61	23.70	0.00	0.00
GCC	82	25.32	24.78	25.03	24.88	0.00	0.00
GCC	83	24.69	25.28	25.54	24.49	0.00	0.00
GCC	84	24.44	25.52	25.50	24.54	0.00	0.00
GCC	85	24.49	25.45	25.57	24.49	0.00	0.00
GCC	86	24.16	26.10	25.64	24.11	0.00	0.00
GCC	87	23.71	26.23	26.10	23.96	0.00	0.00
GCC	88	25.04	25.01	24.83	25.12	0.00	0.00
GCC	89	24.30	25.78	25.60	24.33	0.00	0.00
GCC	90	24.44	25.49	25.60	24.47	0.00	0.00
# ACGT content per cycle, read oriented. Use `grep ^GCT | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]
GCT	1	0.00	0.00	0.00	100.00
GCT	2	0.00	0.00	100.00	0.00
GCT	3	0.00	100.00	0.00	0.00
GCT	4	100.00	0.00	0.00	0.00
GCT	5	0.00	0.00	100.00	0.00
GCT	6	22.56	29.09	29.68	18.67
GCT	7	26.88	21.60	28.88	22.65
GCT	8	24.85	28.48	26.56	20.11
GCT	9	22.88	29.63	24.59	22.90
GCT	10	26.09	22.71	24.99	26.21
GCT	11	22.18	25.95	28.75	23.12
GCT	12	24.53	27.11	27.57	20.79
GCT	13	24.77	23.00	26.53	25.70
GCT	14	21.74	25.33	30.09	22.84
GCT	15	22.92	25.29	28.13	23.65
GCT	16	25.40	23.76	27.13	23.72
GCT	17	21.72	28.14	27.36	22.78
GCT	18	23.43	28.05	25.36	23.17
GCT	19	24.03	27.71	24.19	24.06
GCT	20	22.13	28.57	25.77	23.53
GCT	21	24.50	27.15	25.43	22.92
GCT	22	24.12	24.60	26.39	24.89
GCT	23	22.48	25.69	29.34	22.49
GCT	24	24.64	25.11	27.95	22.31
GCT	25	24.81	24.38	25.39	25.42
GCT	26	22.56	25.27	28.38	23.80
GCT	27	23.66	26.63	26.96	22.76
GCT	28	24.53	26.30	25.09	24.08
GCT	29	23.84	26.12	27.09	22.94
GCT	30	22.47	27.26	26.12	24.15
GCT	31	24.30	24.48	27.08	24.13
GCT	32	22.93	27.26	27.07	22.74
GCT	33	24.33	26.71	26.60	22.36
GCT	34	24.62	25.97	25.21	24.20
GCT	35	22.66	27.03	26.39	23.91
GCT	36	23.24	27.25	25.76	23.74
GCT	37	23.87	26.74	25.03	24.36
GCT	38	21.26	27.69	26.82	24.23
GCT	39	21.56	29.08	25.53	23.83
GCT	40	22.37	27.34	24.95	25.34
GCT	41	22.67	27.65	26.87	22.80
GCT	42	23.11	28.61	24.86	23.43
GCT	43	25.06	25.91	24.95	24.09
GCT	44	23.33	27.84	25.88	22.95
GCT	45	23.67	27.00	25.39	23.93
GCT	46	24.61	25.63	25.87	23.89
GCT	47	23.15	26.75	26.34	23.76
GCT	48	23.98	27.25	25.21	23.56
GCT	49	24.23	26.23	24.90	24.64
GCT	50	23.21	26.94	26.11	23.74
GCT	51	23.69	27.07	25.52	23.71
GCT	52	24.02	26.11	25.26	24.61
GCT	53	23.65	26.67	25.54	24.14
GCT	54	23.98	27.10	25.21	23.71
GCT	55	23.80	26.50	24.93	24.76
GCT	56	23.56	26.99	25.27	24.18
GCT	57	24.12	27.47	24.59	23.83
GCT	58	24.96	26.18	24.09	24.78
GCT	59	22.52	27.19	25.62	24.67
GCT	60	23.84	26.97	25.17	24.02
GCT	61	23.75	26.89	25.01	24.35
GCT	62	23.93	26.70	24.99	24.38
GCT	63	24.22	25.99	25.74	24.04
GCT	64	23.87	26.39	25.35	24.39
GCT	65	23.38	26.83	25.40	24.38
GCT	66	24.46	26.05	25.18	24.30
GCT	67	24.25	26.13	25.08	24.55
GCT	68	23.65	26.80	25.81	23.74
GCT	69	23.52	27.19	24.62	24.67
GCT	70	23.80	26.05	25.39	24.76
GCT	71	23.55	27.68	25.18	23.59
GCT	72	24.66	26.95	24.89	23.50
GCT	73	24.79	26.39	24.61	24.20
GCT	74	24.11	26.62	25.13	24.14
GCT	75	23.83	26.89	25.56	23.72
GCT	76	24.16	26.41	24.81	24.62
GCT	77	24.45	27.16	24.60	23.78
GCT	78	24.04	26.88	24.88	24.20
GCT	79	24.39	26.25	24.91	24.45
GCT	80	24.77	25.97	25.64	23.63
GCT	81	24.22	27.07	25.68	23.03
GCT	82	26.62	25.60	24.20	23.57
GCT	83	24.82	26.34	24.48	24.36
GCT	84	24.92	26.72	24.31	24.06
GCT	85	25.14	25.10	25.92	23.84
GCT	86	24.47	24.73	27.00	23.80
GCT	87	25.32	25.79	26.54	22.35
GCT	88	27.17	24.51	25.33	22.99
GCT	89	26.00	23.92	27.45	22.63
GCT	90	27.28	24.41	26.67	21.63
# ACGT content per cycle for first fragments. Use `grep ^FBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
FBC	1	47.56	0.00	0.00	52.44	0.00	0.00
FBC	2	0.00	47.56	52.44	0.00	0.00	0.00
FBC	3	0.00	52.44	47.56	0.00	0.00	0.00
FBC	4	52.44	0.00	0.00	47.56	0.00	0.00
FBC	5	0.00	47.56	52.44	0.00	0.00	0.00
FBC	6	20.62	29.53	29.24	20.61	0.00	0.00
FBC	7	24.98	25.05	25.42	24.54	0.00	0.00
FBC	8	22.71	27.49	27.54	22.25	0.00	0.00
FBC	9	23.07	27.42	26.79	22.71	0.00	0.00
FBC	10	26.01	23.82	23.89	26.29	0.00	0.00
FBC	11	22.65	27.25	27.45	22.65	0.00	0.00
FBC	12	22.64	27.30	27.39	22.67	0.00	0.00
FBC	13	25.27	24.67	24.87	25.20	0.00	0.00
FBC	14	21.95	27.61	27.81	22.63	0.00	0.00
FBC	15	23.18	26.74	26.69	23.39	0.00	0.00
FBC	16	24.36	25.43	25.46	24.75	0.00	0.00
FBC	17	22.24	27.57	27.94	22.26	0.00	0.00
FBC	18	23.21	26.78	26.62	23.38	0.00	0.00
FBC	19	23.97	26.07	25.84	24.13	0.00	0.00
FBC	20	22.50	27.19	27.15	23.16	0.00	0.00
FBC	21	23.74	26.40	26.18	23.68	0.00	0.00
FBC	22	24.41	25.52	25.48	24.60	0.00	0.00
FBC	23	22.52	27.50	27.53	22.45	0.00	0.00
FBC	24	23.43	26.46	26.60	23.51	0.00	0.00
FBC	25	25.13	24.83	24.95	25.10	0.00	0.00
FBC	26	23.00	26.66	26.98	23.35	0.00	0.00
FBC	27	23.06	26.64	26.95	23.36	0.00	0.00
FBC	28	24.24	25.74	25.64	24.37	0.00	0.00
FBC	29	23.38	26.73	26.49	23.40	0.00	0.00
FBC	30	23.25	26.67	26.71	23.37	0.00	0.00
FBC	31	24.10	25.88	25.68	24.34	0.00	0.00
FBC	32	22.56	27.19	27.14	23.11	0.00	0.00
FBC	33	23.36	26.65	26.66	23.33	0.00	0.00
FBC	34	24.44	25.59	25.59	24.38	0.00	0.00
FBC	35	23.11	26.71	26.71	23.47	0.00	0.00
FBC	36	23.42	26.59	26.43	23.56	0.00	0.00
FBC	37	24.01	26.00	25.77	24.22	0.00	0.00
FBC	38	22.68	27.43	27.08	22.81	0.00	0.00
FBC	39	22.44	27.41	27.20	22.95	0.00	0.00
FBC	40	23.63	26.19	26.10	24.08	0.00	0.00
FBC	41	22.78	27.24	27.28	22.70	0.00	0.00
FBC	42	23.34	26.98	26.49	23.19	0.00	0.00
FBC	43	24.52	25.44	25.41	24.62	0.00	0.00
FBC	44	23.16	26.83	26.89	23.12	0.00	0.00
FBC	45	23.80	26.34	26.06	23.80	0.00	0.00
FBC	46	24.20	25.74	25.76	24.30	0.00	0.00
FBC	47	23.40	26.59	26.50	23.50	0.00	0.00
FBC	48	23.73	26.30	26.16	23.81	0.00	0.00
FBC	49	24.37	25.80	25.33	24.50	0.00	0.00
FBC	50	23.49	26.71	26.33	23.47	0.00	0.00
FBC	51	23.76	26.26	26.33	23.65	0.00	0.00
FBC	52	24.34	25.84	25.52	24.30	0.00	0.00
FBC	53	23.81	26.24	25.97	23.98	0.00	0.00
FBC	54	23.94	26.30	26.00	23.76	0.00	0.00
FBC	55	24.14	25.85	25.58	24.43	0.00	0.00
FBC	56	23.86	26.08	26.18	23.87	0.00	0.00
FBC	57	23.88	26.15	25.91	24.06	0.00	0.00
FBC	58	24.83	25.28	24.98	24.91	0.00	0.00
FBC	59	23.64	26.73	26.08	23.56	0.00	0.00
FBC	60	23.88	26.37	25.77	23.98	0.00	0.00
FBC	61	24.13	25.97	25.93	23.97	0.00	0.00
FBC	62	24.08	25.77	25.93	24.22	0.00	0.00
FBC	63	24.16	25.94	25.80	24.10	0.00	0.00
FBC	64	24.04	26.03	25.71	24.21	0.00	0.00
FBC	65	24.10	26.26	25.97	23.67	0.00	0.00
FBC	66	24.43	25.62	25.61	24.33	0.00	0.00
FBC	67	24.44	25.70	25.51	24.35	0.00	0.00
FBC	68	23.73	26.54	26.07	23.65	0.00	0.00
FBC	69	23.98	26.09	25.72	24.21	0.00	0.00
FBC	70	24.17	25.65	25.79	24.39	0.00	0.00
FBC	71	23.64	26.44	26.42	23.50	0.00	0.00
FBC	72	24.15	26.15	25.69	24.01	0.00	0.00
FBC	73	24.52	25.43	25.57	24.48	0.00	0.00
FBC	74	24.12	25.70	26.05	24.13	0.00	0.00
FBC	75	23.68	26.19	26.25	23.87	0.00	0.00
FBC	76	24.36	25.61	25.61	24.42	0.00	0.00
FBC	77	24.07	25.91	25.85	24.17	0.00	0.00
FBC	78	24.11	25.81	25.95	24.13	0.00	0.00
FBC	79	24.29	25.72	25.44	24.55	0.00	0.00
FBC	80	24.18	25.90	25.70	24.22	0.00	0.00
FBC	81	23.55	26.15	26.61	23.70	0.00	0.00
FBC	82	25.32	24.78	25.03	24.88	0.00	0.00
FBC	83	24.69	25.28	25.54	24.49	0.00	0.00
FBC	84	24.44	25.52	25.50	24.54	0.00	0.00
FBC	85	24.49	25.45	25.57	24.49	0.00	0.00
FBC	86	24.16	26.10	25.64	24.11	0.00	0.00
FBC	87	23.71	26.23	26.10	23.96	0.00	0.00
FBC	88	25.04	25.01	24.83	25.12	0.00	0.00
FBC	89	24.30	25.78	25.60	24.33	0.00	0.00
FBC	90	24.44	25.49	25.60	24.47	0.00	0.00
# ACGT raw counters for first fragments. Use `grep ^FTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
FTC	45558250	51434895	51416160	45694503	0
# ACGT content per cycle for last fragments. Use `grep ^LBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
# ACGT raw counters for last fragments. Use `grep ^LTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
LTC	0	0	0	0	0
# Insert sizes. Use `grep ^IS | cut -f 2-` to extract this part. The columns are: insert size, pairs total, inward oriented pairs, outward oriented pairs, other pairs
# Read lengths. Use `grep ^RL | cut -f 2-` to extract this part. The columns are: read length, count
RL	40	33518
RL	41	37723
RL	42	33877
RL	43	61892
RL	44	30118
RL	45	48256
RL	46	39504
RL	47	29682
RL	48	34485
RL	49	27379
RL	50	27171
RL	51	25971
RL	52	27280
RL	53	27944
RL	54	36210
RL	55	29683
RL	56	32084
RL	57	27891
RL	58	30349
RL	59	24731
RL	60	25954
RL	61	27057
RL	62	31487
RL	63	25403
RL	64	26532
RL	65	25504
RL	66	22996
RL	67	23428
RL	68	22591
RL	69	24056
RL	70	24112
RL	71	22696
RL	72	32275
RL	73	29509
RL	74	23504
RL	75	20730
RL	76	22788
RL	77	22740
RL	78	24458
RL	79	431
RL	80	686
RL	81	909
RL	82	1003
RL	83	1067
RL	84	1077
RL	85	1249
RL	86	1416
RL	87	1831
RL	88	3085
RL	89	10880
RL	90	1408197
# Read lengths - first fragments. Use `grep ^FRL | cut -f 2-` to extract this part. The columns are: read length, count
FRL	40	33518
FRL	41	37723
FRL	42	33877
FRL	43	61892
FRL	44	30118
FRL	45	48256
FRL	46	39504
FRL	47	29682
FRL	48	34485
FRL	49	27379
FRL	50	27171
FRL	51	25971
FRL	52	27280
FRL	53	27944
FRL	54	36210
FRL	55	29683
FRL	56	32084
FRL	57	27891
FRL	58	30349
FRL	59	24731
FRL	60	25954
FRL	61	27057
FRL	62	31487
FRL	63	25403
FRL	64	26532
FRL	65	25504
FRL	66	22996
FRL	67	23428
FRL	68	22591
FRL	69	24056
FRL	70	24112
FRL	71	22696
FRL	72	32275
FRL	73	29509
FRL	74	23504
FRL	75	20730
FRL	76	22788
FRL	77	22740
FRL	78	24458
FRL	79	431
FRL	80	686
FRL	81	909
FRL	82	1003
FRL	83	1067
FRL	84	1077
FRL	85	1249
FRL	86	1416
FRL	87	1831
FRL	88	3085
FRL	89	10880
FRL	90	1408197
# Read lengths - last fragments. Use `grep ^LRL | cut -f 2-` to extract this part. The columns are: read length, count
# Mapping qualities for reads !(UNMAP|SECOND|SUPPL|QCFAIL|DUP). Use `grep ^MAPQ | cut -f 2-` to extract this part. The columns are: mapq, count
MAPQ	0	316369
MAPQ	1	3551
MAPQ	2	9128
MAPQ	3	5885
MAPQ	4	4056
MAPQ	5	3928
MAPQ	6	3926
MAPQ	7	4922
MAPQ	8	4997
MAPQ	9	5464
MAPQ	10	5307
MAPQ	11	3019
MAPQ	12	2868
MAPQ	13	2598
MAPQ	14	1421
MAPQ	15	1554
MAPQ	16	1648
MAPQ	17	1428
MAPQ	18	1660
MAPQ	19	1964
MAPQ	20	2206
MAPQ	21	1946
MAPQ	22	3072
MAPQ	23	2434
MAPQ	24	3378
MAPQ	25	3640
MAPQ	26	2263
MAPQ	27	3239
MAPQ	28	1589
MAPQ	29	1630
MAPQ	30	2071
MAPQ	31	1595
MAPQ	32	1852
MAPQ	33	2150
MAPQ	34	1617
MAPQ	35	1818
MAPQ	36	1507
MAPQ	37	2082
MAPQ	38	1777
MAPQ	39	2013
MAPQ	40	2117
MAPQ	41	1813
MAPQ	42	2472
MAPQ	43	1838
MAPQ	44	3528
MAPQ	45	2161
MAPQ	46	2118
MAPQ	47	3216
MAPQ	48	2595
MAPQ	49	3853
MAPQ	50	3120
MAPQ	51	3045
MAPQ	52	3717
MAPQ	53	2424
MAPQ	54	5770
MAPQ	55	3943
MAPQ	56	3392
MAPQ	57	4297
MAPQ	58	3848
MAPQ	59	5430
MAPQ	60	1954664
# Indel distribution. Use `grep ^ID | cut -f 2-` to extract this part. The columns are: length, number of insertions, number of deletions
ID	1	47592	67783
ID	2	14869	19650
ID	3	7779	8471
ID	4	4716	6325
ID	5	3074	4300
ID	6	2698	3966
ID	7	1620	2649
ID	8	1528	2513
ID	9	1158	1851
ID	10	864	1546
ID	11	749	1211
ID	12	469	925
ID	13	429	836
ID	14	351	552
ID	15	219	609
ID	16	204	369
ID	17	110	369
ID	18	118	295
ID	19	91	265
ID	20	46	225
ID	21	21	139
ID	22	16	62
ID	23	24	196
ID	24	2	63
ID	25	0	30
ID	26	1	38
ID	27	0	45
ID	28	0	3
ID	29	0	8
ID	30	0	5
ID	31	0	28
ID	33	0	1
ID	36	0	7
ID	37	0	6
# Indels per cycle. Use `grep ^IC | cut -f 2-` to extract this part. The columns are: cycle, number of insertions (fwd), .. (rev) , number of deletions (fwd), .. (rev)
IC	3	0	0	201	0
IC	4	94	0	1100	0
IC	5	675	0	850	0
IC	6	568	0	573	0
IC	7	592	0	897	0
IC	8	741	0	1346	0
IC	9	777	0	1414	0
IC	10	951	0	1168	0
IC	11	1031	0	1513	0
IC	12	1219	0	1375	0
IC	13	1095	0	1511	0
IC	14	1138	0	1648	0
IC	15	983	0	2223	0
IC	16	1374	0	2070	0
IC	17	1462	0	1778	0
IC	18	1336	0	1605	0
IC	19	1147	0	2177	0
IC	20	1304	0	1733	0
IC	21	1373	0	1788	0
IC	22	1564	0	2058	0
IC	23	1326	0	1817	0
IC	24	1257	0	2280	0
IC	25	1525	0	1908	0
IC	26	1246	0	1959	0
IC	27	1381	0	1709	0
IC	28	1220	0	2244	0
IC	29	1460	0	1980	0
IC	30	1570	0	1813	0
IC	31	1461	0	2262	0
IC	32	1549	0	2314	0
IC	33	1465	0	1949	0
IC	34	1501	0	1894	0
IC	35	1514	0	1787	0
IC	36	1365	0	1799	0
IC	37	1571	0	2112	0
IC	38	1655	0	2272	0
IC	39	1419	0	2132	0
IC	40	1447	0	2132	0
IC	41	1542	0	1942	0
IC	42	1617	0	1728	0
IC	43	1567	0	1790	0
IC	44	1574	0	1815	0
IC	45	1458	0	1990	0
IC	46	1131	0	1795	0
IC	47	1287	0	1903	0
IC	48	1162	0	1795	0
IC	49	1298	0	1978	0
IC	50	1520	0	1854	0
IC	51	1279	0	1810	0
IC	52	1155	0	1847	0
IC	53	1395	0	1624	0
IC	54	1091	0	1673	0
IC	55	1091	0	1505	0
IC	56	1310	0	1506	0
IC	57	1065	0	1573	0
IC	58	993	0	1531	0
IC	59	1086	0	1412	0
IC	60	1098	0	1393	0
IC	61	1126	0	1411	0
IC	62	954	0	1348	0
IC	63	1040	0	1407	0
IC	64	836	0	1620	0
IC	65	817	0	1513	0
IC	66	793	0	1102	0
IC	67	833	0	1139	0
IC	68	819	0	1142	0
IC	69	761	0	1084	0
IC	70	740	0	1038	0
IC	71	756	0	998	0
IC	72	720	0	931	0
IC	73	614	0	941	0
IC	74	548	0	913	0
IC	75	595	0	1011	0
IC	76	480	0	746	0
IC	77	565	0	946	0
IC	78	528	0	870	0
IC	79	550	0	773	0
IC	80	475	0	637	0
IC	81	391	0	728	0
IC	82	390	0	651	0
IC	83	325	0	550	0
IC	84	252	0	519	0
IC	85	423	0	326	0
IC	86	685	0	467	0
IC	87	657	0	675	0
# Coverage distribution. Use `grep ^COV | cut -f 2-` to extract this part.
COV	[1-1]	1	6120942
COV	[2-2]	2	2611513
COV	[3-3]	3	1738084
COV	[4-4]	4	1301492
COV	[5-5]	5	994976
COV	[6-6]	6	794760
COV	[7-7]	7	647589
COV	[8-8]	8	526244
COV	[9-9]	9	443869
COV	[10-10]	10	381639
COV	[11-11]	11	338919
COV	[12-12]	12	307657
COV	[13-13]	13	289958
COV	[14-14]	14	257184
COV	[15-15]	15	248541
COV	[16-16]	16	237310
COV	[17-17]	17	228240
COV	[18-18]	18	227866
COV	[19-19]	19	215476
COV	[20-20]	20	213215
COV	[21-21]	21	199908
COV	[22-22]	22	194794
COV	[23-23]	23	185751
COV	[24-24]	24	184156
COV	[25-25]	25	182715
COV	[26-26]	26	168707
COV	[27-27]	27	156899
COV	[28-28]	28	151399
COV	[29-29]	29	142526
COV	[30-30]	30	137981
COV	[31-31]	31	127709
COV	[32-32]	32	114873
COV	[33-33]	33	108524
COV	[34-34]	34	96228
COV	[35-35]	35	83745
COV	[36-36]	36	79040
COV	[37-37]	37	66280
COV	[38-38]	38	60022
COV	[39-39]	39	50886
COV	[40-40]	40	45227
COV	[41-41]	41	40033
COV	[42-42]	42	33579
COV	[43-43]	43	27439
COV	[44-44]	44	21410
COV	[45-45]	45	19680
COV	[46-46]	46	17622
COV	[47-47]	47	14343
COV	[48-48]	48	11992
COV	[49-49]	49	9832
COV	[50-50]	50	8801
COV	[51-51]	51	8117
COV	[52-52]	52	6089
COV	[53-53]	53	5384
COV	[54-54]	54	5467
COV	[55-55]	55	4898
COV	[56-56]	56	4548
COV	[57-57]	57	3900
COV	[58-58]	58	3671
COV	[59-59]	59	3777
COV	[60-60]	60	3091
COV	[61-61]	61	2923
COV	[62-62]	62	2530
COV	[63-63]	63	3261
COV	[64-64]	64	2891
COV	[65-65]	65	3294
COV	[66-66]	66	2502
COV	[67-67]	67	2088
COV	[68-68]	68	2356
COV	[69-69]	69	2165
COV	[70-70]	70	1855
COV	[71-71]	71	2016
COV	[72-72]	72	2330
COV	[73-73]	73	2377
COV	[74-74]	74	1724
COV	[75-75]	75	1803
COV	[76-76]	76	1994
COV	[77-77]	77	1843
COV	[78-78]	78	1372
COV	[79-79]	79	1435
COV	[80-80]	80	1410
COV	[81-81]	81	1401
COV	[82-82]	82	1389
COV	[83-83]	83	1317
COV	[84-84]	84	1346
COV	[85-85]	85	1093
COV	[86-86]	86	896
COV	[87-87]	87	1086
COV	[88-88]	88	1190
COV	[89-89]	89	1142
COV	[90-90]	90	1065
COV	[91-91]	91	1160
COV	[92-92]	92	1025
COV	[93-93]	93	919
COV	[94-94]	94	748
COV	[95-95]	95	854
COV	[96-96]	96	756
COV	[97-97]	97	696
COV	[98-98]	98	911
COV	[99-99]	99	656
COV	[100-100]	100	623
COV	[101-101]	101	851
COV	[102-102]	102	949
COV	[103-103]	103	654
COV	[104-104]	104	591
COV	[105-105]	105	581
COV	[106-106]	106	542
COV	[107-107]	107	455
COV	[108-108]	108	426
COV	[109-109]	109	443
COV	[110-110]	110	510
COV	[111-111]	111	492
COV	[112-112]	112	516
COV	[113-113]	113	511
COV	[114-114]	114	491
COV	[115-115]	115	499
COV	[116-116]	116	693
COV	[117-117]	117	394
COV	[118-118]	118	459
COV	[119-119]	119	216
COV	[120-120]	120	322
COV	[121-121]	121	546
COV	[122-122]	122	443
COV	[123-123]	123	436
COV	[124-124]	124	356
COV	[125-125]	125	480
COV	[126-126]	126	334
COV	[127-127]	127	258
COV	[128-128]	128	274
COV	[129-129]	129	298
COV	[130-130]	130	391
COV	[131-131]	131	414
COV	[132-132]	132	278
COV	[133-133]	133	192
COV	[134-134]	134	176
COV	[135-135]	135	264
COV	[136-136]	136	162
COV	[137-137]	137	241
COV	[138-138]	138	157
COV	[139-139]	139	212
COV	[140-140]	140	264
COV	[141-141]	141	271
COV	[142-142]	142	295
COV	[143-143]	143	164
COV	[144-144]	144	258
COV	[145-145]	145	331
COV	[146-146]	146	301
COV	[147-147]	147	154
COV	[148-148]	148	332
COV	[149-149]	149	139
COV	[150-150]	150	173
COV	[151-151]	151	86
COV	[152-152]	152	130
COV	[153-153]	153	46
COV	[154-154]	154	91
COV	[155-155]	155	182
COV	[156-156]	156	168
COV	[157-157]	157	258
COV	[158-158]	158	227
COV	[159-159]	159	168
COV	[160-160]	160	111
COV	[161-161]	161	167
COV	[162-162]	162	68
COV	[163-163]	163	85
COV	[164-164]	164	127
COV	[165-165]	165	101
COV	[166-166]	166	73
COV	[167-167]	167	91
COV	[168-168]	168	88
COV	[169-169]	169	125
COV	[170-170]	170	151
COV	[171-171]	171	188
COV	[172-172]	172	138
COV	[173-173]	173	53
COV	[174-174]	174	20
COV	[175-175]	175	66
COV	[176-176]	176	77
COV	[177-177]	177	77
COV	[178-178]	178	90
COV	[179-179]	179	117
COV	[180-180]	180	93
COV	[181-181]	181	45
COV	[182-182]	182	62
COV	[183-183]	183	14
COV	[184-184]	184	50
COV	[185-185]	185	75
COV	[186-186]	186	112
COV	[187-187]	187	146
COV	[188-188]	188	108
COV	[189-189]	189	84
COV	[190-190]	190	96
COV	[191-191]	191	57
COV	[192-192]	192	17
COV	[193-193]	193	101
COV	[194-194]	194	82
COV	[195-195]	195	40
COV	[196-196]	196	50
COV	[197-197]	197	74
COV	[198-198]	198	82
COV	[199-199]	199	84
COV	[200-200]	200	61
COV	[201-201]	201	24
COV	[202-202]	202	36
COV	[203-203]	203	48
COV	[204-204]	204	80
COV	[205-205]	205	95
COV	[206-206]	206	96
COV	[207-207]	207	33
COV	[208-208]	208	112
COV	[209-209]	209	123
COV	[210-210]	210	87
COV	[211-211]	211	138
COV	[212-212]	212	150
COV	[213-213]	213	115
COV	[214-214]	214	53
COV	[215-215]	215	77
COV	[216-216]	216	51
COV	[217-217]	217	54
COV	[218-218]	218	120
COV	[219-219]	219	26
COV	[220-220]	220	135
COV	[221-221]	221	69
COV	[222-222]	222	36
COV	[223-223]	223	62
COV	[224-224]	224	63
COV	[225-225]	225	42
COV	[226-226]	226	161
COV	[227-227]	227	69
COV	[228-228]	228	92
COV	[229-229]	229	84
COV	[230-230]	230	64
COV	[231-231]	231	131
COV	[232-232]	232	93
COV	[233-233]	233	68
COV	[234-234]	234	92
COV	[235-235]	235	68
COV	[236-236]	236	67
COV	[237-237]	237	5
COV	[238-238]	238	34
COV	[239-239]	239	45
COV	[240-240]	240	32
COV	[241-241]	241	47
COV	[242-242]	242	52
COV	[243-243]	243	67
COV	[244-244]	244	113
COV	[245-245]	245	102
COV	[246-246]	246	49
COV	[247-247]	247	68
COV	[248-248]	248	28
COV	[249-249]	249	155
COV	[250-250]	250	76
COV	[251-251]	251	9
COV	[252-252]	252	25
COV	[253-253]	253	58
COV	[254-254]	254	9
COV	[255-255]	255	19
COV	[256-256]	256	75
COV	[257-257]	257	65
COV	[258-258]	258	59
COV	[259-259]	259	12
COV	[260-260]	260	32
COV	[261-261]	261	29
COV	[262-262]	262	34
COV	[263-263]	263	57
COV	[264-264]	264	20
COV	[265-265]	265	44
COV	[266-266]	266	81
COV	[267-267]	267	81
COV	[268-268]	268	34
COV	[269-269]	269	12
COV	[270-270]	270	17
COV	[271-271]	271	88
COV	[272-272]	272	30
COV	[273-273]	273	29
COV	[274-274]	274	55
COV	[275-275]	275	17
COV	[276-276]	276	27
COV	[277-277]	277	21
COV	[278-278]	278	14
COV	[279-279]	279	22
COV	[280-280]	280	16
COV	[281-281]	281	25
COV	[282-282]	282	12
COV	[283-283]	283	1
COV	[284-284]	284	2
COV	[285-285]	285	4
COV	[286-286]	286	27
COV	[287-287]	287	22
COV	[288-288]	288	24
COV	[289-289]	289	63
COV	[290-290]	290	59
COV	[291-291]	291	16
COV	[292-292]	292	24
COV	[293-293]	293	16
COV	[294-294]	294	3
COV	[295-295]	295	3
COV	[296-296]	296	7
COV	[297-297]	297	13
COV	[298-298]	298	37
COV	[299-299]	299	41
COV	[300-300]	300	34
COV	[301-301]	301	19
COV	[302-302]	302	36
COV	[303-303]	303	69
COV	[304-304]	304	32
COV	[305-305]	305	23
COV	[306-306]	306	2
COV	[307-307]	307	7
COV	[308-308]	308	12
COV	[309-309]	309	33
COV	[310-310]	310	2
COV	[311-311]	311	17
COV	[312-312]	312	9
COV	[313-313]	313	17
COV	[314-314]	314	17
COV	[315-315]	315	2
COV	[316-316]	316	3
COV	[317-317]	317	17
COV	[318-318]	318	7
COV	[319-319]	319	29
COV	[320-320]	320	6
COV	[321-321]	321	26
